product_name,price,rating,sell,location,kategori
"vivo Y22 (4/128) - Helio G85, 50MP Camera, Splash Waterproof - Starlit Blue",Rp1.367.000,4.9,2rb+ terjual,Kab. Tangerang,vivo
"vivo Y36 5G (8/256) - 44W FlashCharge+5000mAh, NFC Multifunctions",Rp2.502.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
"vivo X100 Pro (16/512) - ZEISS APO Telephoto Camera, ZEISS Multifocal Portrait, 4K Cinematic Portrait Video, Dimensity 9300",Rp2.502.000,5.0,100+ terjual,Kab. Tangerang,vivo
"vivo iQOO Z7 (12/256) - SDM 782G, 120W FlashCharge + 5000mAh, 64MP OIS",Rp3.686.000,4.9,5rb+ terjual,Kab. Tangerang,vivo
"vivo V30 5G (8+8GB/256GB) - Aura Light Portrait, 80W FlashCharge",Rp3.686.000,4.9,40+ terjual,Kab. Tangerang,vivo
Vivo V30 5G 8/256GB + 12/512GB Garansi Resmi Vivo Indonesia,Rp4.947.000,5.0,750+ terjual,Jakarta Barat,vivo
"vivo Y17s (4/64) - 50MP Camera, 15W FlashCharge+5000mAH",Rp1.212.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
Vivo V30 5G NFC 12/512GB 8/256GB Garansi Resmi Indonesia,Rp4.940.000,4.8,500+ terjual,Jakarta Pusat,vivo
VIVO Y03 4/64 & 4/128 NEW GARANSI RESMI,Rp1.189.150,5.0,250+ terjual,Medan,vivo
VIVO V30 5G 12/512 & 8/256 NEW GARANSI RESMI,Rp5.099.000,5.0,60+ terjual,Medan,vivo
"vivo Y35 (8/128) - RAM 8GB+8GB Extended, 44W FlashCharge+5000mAh - Dawn Gold",Rp1.872.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
Vivo X100 5G 12/256GB Dimensity 9300 5000mAh 120W NFC Garansi Resmi,Rp10.503.000,5.0,100+ terjual,Jakarta Pusat,vivo
"vivo Y17s (4/64) - 50MP Camera, 15W FlashCharge+5000mAH - Glitter Purple",Rp1.212.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
VIVO Y66 4/64GB NEW GARANSI 1 TAHUN,Rp1.212.000,4.7,70+ terjual,Jakarta Barat,vivo
"vivo Y02t (4/64) - 5000mAh, Dual-Mode Camera, 6.51"" HD+ Big Screen",Rp1.096.000,4.9,500+ terjual,Kab. Tangerang,vivo
Vivo V30 Pro 12/512 GB - Vivo V30 8/256 GB Garansi Resmi Not V29 V29e ,Rp4.940.000,4.9,750+ terjual,Jakarta Pusat,vivo
"vivo iQOO Z7 (12/256) - SDM 782G, 120W FlashCharge + 5000mAh, 64MP OIS",Rp3.686.000,4.9,5rb+ terjual,Kab. Tangerang,vivo
Vivo Y03 4/64GB 4/128GB,Rp1.145.000,4.9,100+ terjual,Tangerang,vivo
Vivo Y17s 6/128GB Garansi Resmi - Purple - Black - Ram 6/128Gb,Rp1.145.000,5.0,40+ terjual,Depok,vivo
Vivo V29 5G NFC 12/512GB 8/256GB 80W Fastcharge Garansi Resmi Not V27,Rp4.504.000,5.0,500+ terjual,Jakarta Pusat,vivo
Vivo Y03 4/64GB 4/128GB Garansi Resmi Indonesia 1 Tahun,Rp1.150.000,5.0,250+ terjual,Jakarta Barat,vivo
"vivo Y35 (8/128) - RAM 8GB+8GB Extended, 44W FlashCharge+5000mAh",Rp1.872.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
VIVO Y17S RAM 4/64 GB | VIVO Y 17S  4/128 | Y17 S  6/128 GARANSI RESMI,Rp1.379.000,5.0,100+ terjual,Jakarta Barat,vivo
Vivo V30 Pro 5G 12/512 GB [12GB + 512GB] Garansi Resmi Vivo Indonesia,Rp7.468.000,4.9,100+ terjual,Jakarta Barat,vivo
VIVO Y66 4/64 GB GARANSI 1 TAHUN,Rp7.468.000,4.8,750+ terjual,Jakarta Barat,vivo
Vivo Y28 6/128GB 8/128GB 8/256GB NFC Vivo Terbaru 2024 Garansi Resmi,Rp2.125.000,4.9,80+ terjual,Jakarta Utara,vivo
"vivo X100 (12/256) - ZEISS Telephoto Camera, ZEISS Multifocal Portrait, Dimensity 9300, 120W FlashCharge",Rp2.125.000,5.0,9 terjual,Kab. Tangerang,vivo
VIVO Y03 4/64GB 4/128GB Garansi Resmi,Rp2.125.000,5.0,60+ terjual,Jakarta Pusat,vivo
"vivo Y27 (6/128) - 50MP Camera, 44W FlashCharge+5000mAH",Rp1.697.000,4.9,500+ terjual,Kab. Tangerang,vivo
VIVO Y66 RAM 4/64,Rp1.697.000,4.7,750+ terjual,Jakarta Barat,vivo
Vivo V30 5G 12/512 8/256 GB Garansi Resmi 8 256 12 512 GB not v29 ,Rp4.940.000,5.0,250+ terjual,Jakarta Pusat,vivo
vivo V30e 5G,Rp3.666.000,4.9,100+ terjual,Jakarta Pusat,vivo
Vivo Y100 5G 8GB 128GB 256GB 8/128 8/256 / 4G Garansi Resmi,Rp2.572.000,4.9,250+ terjual,Jakarta Pusat,vivo
Vivo Y17s ram 4/64GB dan 6/128GB New Garansi Resmi,Rp2.572.000,5.0,70+ terjual,Depok,vivo
Vivo Y03 4/64GB + 4/128GB Garansi Resmi Vivo Indonesia,Rp1.315.000,5.0,500+ terjual,Jakarta Barat,vivo
Vivo Y27s NFC 8/256 GB 8/128 GB Garansi Resmi Y17 s Not Y22 Y27 Y36,Rp2.168.000,4.9,750+ terjual,Jakarta Pusat,vivo
Vivo Y36 5G / LTE 8/256 GB Garansi Resmi Y 36 Not Y15s Y16 Y22 Y35,Rp2.083.000,4.9,500+ terjual,Jakarta Pusat,vivo
Vivo V29e 5G 8/256 GB Garansi Resmi Nott V25 Pro V27 V27e V29,Rp2.083.000,4.9,750+ terjual,Jakarta Pusat,vivo
Vivo Y100 5G / LTE 8/256 GB 8/128 GB Garansi Resmi Y 100 Not Y35 Y36,Rp2.572.000,5.0,500+ terjual,Jakarta Pusat,vivo
Vivo Y17S 6/128 GB 4/64 GB Garansi Resmi Y17 S Not Y16 Y22 Y27 Y36,Rp2.572.000,4.9,1rb+ terjual,Jakarta Pusat,vivo
"vivo Y17s (6/128) - 50MP Camera, 15W FlashCharge+5000mAH, IP54 - Forest Green",Rp1.600.000,4.9,250+ terjual,Kab. Tangerang,vivo
VIVO Y79 RAM 6/128 GB GARANSI 12 BULAN ,Rp1.600.000,4.9,26 terjual,Jakarta Barat,vivo
"vivo Y36 (8/256) - 44W FlashCharge+5000mAh, NFC Multifunctions",Rp2.260.000,4.9,100+ terjual,Kab. Tangerang,vivo
VIVO X100 Ultra 5G Snapdragon 8 Gen 3,Rp2.260.000,5.0,5 terjual,Bekasi,vivo
vivo Y100 5G (8/256) 80W FlashCharge + Amoled 120Hz + 50MP Wide Camera,Rp3.899.000,4.8,70+ terjual,Kab. Tangerang,vivo
Vivo Y100 5G 8/256 GB 8/128 GB Garansi Resmi Y 100 Not Y27 Y35 Y36,Rp2.971.000,4.9,250+ terjual,Jakarta Pusat,vivo
VIVO Y27S 8/128 GB | VIVO Y27S 8/256 GB GARANSI RESMI VIVO INDONESIA,Rp1.449.900,5.0,90+ terjual,Jakarta Barat,vivo
Vivo Y17S 6/128 4/128 4/64 GB Garansi Resmi 6 128GB 4 64 GB,Rp1.449.900,4.9,500+ terjual,Jakarta Pusat,vivo
Vivo Y100 5G 8/128 GB + 8/256 GB Garansi Resmi Vivo Indoensia,Rp3.240.000,5.0,250+ terjual,Jakarta Barat,vivo
Vivo V30e 5G NFC 8/256 GB 8/128 GB Garansi Resmi Not V27 e V29 e,Rp3.658.000,4.9,250+ terjual,Jakarta Pusat,vivo
Vivo Y03 ( 4/64 - 4/128 - 6/128 ) Garansi Resmi New,Rp1.145.000,4.9,1rb+ terjual,Jakarta Selatan,vivo
Smartphone VIVO Y17 RAM 8GB + 256GB,Rp1.145.000,4.8,500+ terjual,Jakarta Barat,vivo
"vivo Y36 5G (8/256) - 44W FlashCharge+5000mAh, NFC Multifunctions",Rp2.502.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
VIVO Y03 RAM 4/64 - GARANSI RESMI,Rp1.164.000,5.0,30+ terjual,Jakarta Timur,vivo
Vivo V29e 8/256 GB 5G V29 e 8GB 256GB Garansi Resmi nott V27 V25 ,Rp3.426.000,4.9,250+ terjual,Jakarta Pusat,vivo
"vivo Y27 (6/128) - 50MP Camera, 44W FlashCharge+5000mAH",Rp1.697.000,4.9,500+ terjual,Kab. Tangerang,vivo
Vivo Y27s 8/256 8/128 GB NFC Garansi Resmi 8 256 128 GB Black,Rp1.362.000,5.0,100+ terjual,Jakarta Pusat,vivo
smartphone VIVO Y19 ram 8+256 GB,Rp1.362.000,4.8,250+ terjual,Jakarta Barat,vivo
VIVO V30E 5G NFC 8/128 & 8/256 NEW GARANSI RESMI,Rp3.899.000,5.0,8 terjual,Medan,vivo
Vivo Y100 5G NFC 8/256GB 8/128GB Garansi Resmi 128 GB 256 GB,Rp2.550.000,5.0,250+ terjual,Jakarta Pusat,vivo
VIVO Y03 RAM 4/64 GB | VIVO Y 03 RAM 4/128 GB GARANSI RESMI VIVO,Rp1.219.000,4.9,250+ terjual,Jakarta Barat,vivo
VIVO Y03 4/128 4/64 GB Garansi Resmi 4 128 GB 4 64 GB not y02 t,Rp1.165.000,4.9,250+ terjual,Jakarta Pusat,vivo
VIVO Y100 5G 8/256 & 8/128 NEW GARANSI RESMI,Rp3.099.000,5.0,23 terjual,Medan,vivo
"vivo Y22 (4/128) - Helio G85, 50MP Camera, Splash Waterproof",Rp1.367.000,4.9,2rb+ terjual,Kab. Tangerang,vivo
vivo Y03 4/64 4/128 garansi Resmi,Rp1.367.000,4.9,100+ terjual,Kab. Bondowoso,vivo
vivo y17s 4/64,Rp1.367.000,5.0,90+ terjual,Kab. Banyumas,vivo
Vivo Y03 4/128 GB 4/64 GB Y 03 Garansi Resmi Not Y02 t Y17 s Y27 s,Rp1.165.000,4.9,500+ terjual,Jakarta Pusat,vivo
vivo Y100 5G,Rp1.165.000,5.0,100+ terjual,Jakarta Pusat,vivo
VIVO Y03 4/64 & 4/128 NEW GARANSI RESMI,Rp1.165.000,5.0,27 terjual,Medan,vivo
vivo y67 4/32gb original,Rp1.165.000,4.9,100+ terjual,Jakarta Pusat,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
